Pro,Con,Judge
Quarry Lane LY,Bonita Vista MaMa,
Dougherty Valley GB,,
Fullerton Union ML,,
Bonita Vista NG,,
Fairmont Prep PT,,
Honor BJ,,
Dougherty Valley PD,,
Dougherty Valley BC,,
Dougherty Valley SD,,
Fairmont Prep SS,,
Dougherty Valley KP,,
Dougherty Valley MP,,
Fairmont Prep KG,,
Science SR,,
Quarry Lane YY,,
Canyon Crest XS,,
