,Loyola,Grapevine,University of Kentucky / Season Opener,"Greenhill 
(Not Independent Friendly)",Valley / Mid America,Long Beach (Jack Howe),Yale,Holy Cross,Nano Nagle / Presentation,Duke,New York City Invitational / Bronx Science,St.Mark's (Not Independent Friendly),Florida Blue Key,Meadows,University of Houston Cougar Classic,Apple Valley,Damus,"Glenbrooks
(Not Independent Friendly)",Alta,University of Texas / Longhorn Classic,Princeton,TOC Digital Debate Series #1,Isidore Newman,Ridge,Strake Jesuit,Blake,College Prep
Date,9/1 - 9/3,9/8 - 9/10,9/9 - 9/11,9/16 wknd,9/23 wknd,9/30 - 10/2,9/29 - 10/1,10/6 - 10/7,10/6 - 10/8,10/7 wknd,10/13 - 10/15,10/21 wknd,10/27 - 10/29,10/28 wknd,10/28 wknd,11/4 wknd,11/10 - 11/12,11/18 - 11/20,12/2 wknd,12/2 wknd,12/2 wknd,TBD,12/8 - 12/10,12/9 wknd,12/16 wknd,12/16 wknd,12/16 wknd
"City, State","Los Angeles, CA","Grapevine, TX (Dallas)","Lexington, KY","Addison, TX (Dallas)","TBD/ Des Moines, IA","Los Angeles, CA","Hartford, CT","New Orleans, LA","San Jose, CA","Durham, NC","NYC, NY","Dallas, TX","Gainesville, FL","Las Vegas, NV","Houston, TX","Minneapolis, MN","Sherman Oaks, CA","Chicago, IL","Salt Lake City, Utah","Austin, TX","Princeton, NJ",Online,"New Orleans, LA","Basking Ridge /  Newark, NJ","Houston, TX","Minneapolis, MN","Oakland, California"
Registration Link,https://www.tabroom.com/index/tourn/index.mhtml?tourn_id=27637,https://www.tabroom.com/index/tourn/index.mhtml?tourn_id=28021,https://www.tabroom.com/index/tourn/index.mhtml?tourn_id=27866,https://www.tabroom.com/index/tourn/index.mhtml?tourn_id=27349,,https://www.tabroom.com/index/tourn/index.mhtml?tourn_id=27614,https://www.tabroom.com/index/tourn/index.mhtml?tourn_id=27379,https://www.tabroom.com/index/tourn/index.mhtml?tourn_id=27692,https://www.tabroom.com/index/tourn/index.mhtml?tourn_id=27575,,https://www.tabroom.com/index/tourn/index.mhtml?tourn_id=27536,,https://www.tabroom.com/index/tourn/index.mhtml?tourn_id=27267,,,,https://www.tabroom.com/index/tourn/index.mhtml?tourn_id=27825,https://www.tabroom.com/index/tourn/index.mhtml?tourn_id=27300,,,,,https://www.tabroom.com/index/tourn/index.mhtml?tourn_id=27907,,,,
Bid Level,Quarters,Quarters,Quarters,Octas,Octos,Semis,Quarters,Semis,Quarters,Finals,Octos,Octos,Quarters,Quarters,Semis,Octos,Semis,Octos,Semis,Quarters,,Semis,Semis,Finals,Semis,Quarters,Quarters
