Pro,Con,Judges,Votes,Result
Plano West MZ,Regis KS,"David Jones																																		Xiaojin Liu																																		Nigel Taylor-Ward","Pro																												Pro																												Pro","3-0																															PRO"
Plano West LZ,Horace Mann LP,"Lucy Fang																																		Sefa Mawuli																																		Ray Lappin","Con																												Pro																												Pro","2-1																															PRO"
Walt Whitman HL,Newton South DD,"Rose Oh																																		Stephani Valentina																																		Thomas Barone","Con																												Pro																												Con","2-1																															CON"
Trinity KF,Richard Montgomery GS,"Mei Liu																																		Mike Girouard																																		Jing Jing Xiao","Con																												Con																												Con","3-0																															CON"
VDA - Vancouver MS,Ridge KR,"Connor Wynne																																		Jehchoon You																																		Kayla Graham","Pro																												Pro																												Con","2-1																															PRO"
Newton South SC,Bronx Science AE,"Maha Quadri																																		Selma Tabakovic																																		Matthew Smith","Con																												Con																												Con","3-0																															CON"
Lambert RZ,Newton South AT,"Connor Wynne																																		Jehchoon You																																		Kayla Graham","Pro																												Pro																												Con","2-1																															PRO"
Chanhassen VS,Walt Whitman DP,"Julia Bittencourt																																		Hardik Shah																																		Cathy Cabrera","Con																												Pro																												Pro","2-1																															PRO"
Interlake GJ,Newton South ZL,"Maha Quadri																																		Selma Tabakovic																																		Matthew Smith","Con																												Pro																												Pro","2-1																															PRO"
Cranbrook WH,Richard Montgomery SX,"Paris Vakili																																		Alex Watson																																		Jim Sydnor","Con																												Con																												Con","3-0																															CON"
Cherry Creek AP,Livingston ZS,"Paris Vakili																																		Alex Watson																																		Jim Sydnor","Con																												Con																												Con","3-0																															CON"
Walt Whitman HY,Durham PH,"Changqing Xie																																		Eyal Stessel																																		David Coates","Pro																												Pro																												Pro","3-0																															PRO"
Serra AO,Bronx Science KW,"Yong Jong Shawn Yen																																		Liz Dela Cruz																																		Navin Durbhakula","Con																												Con																												Con","3-0																															CON"
George Washington RW,Bronx Science MY,"Yoga Raghavaraju																																		Nilesh Chander																																		Atul Kapoor","Pro																												Con																												Pro","2-1																															PRO"
Regis GM,Newton South RJ,"Diane Park																																		Dhritiman Banerjee																																		Kenan Anderson","Pro																												Pro																												Pro","3-0																															PRO"
National Cathedral School (NCS) AB,Hunter KF,"Diane Park																																		Dhritiman Banerjee																																		Kenan Anderson","Con																												Pro																												Pro","2-1																															PRO"
South Forsyth GG,Ransom Everglades GR,"Changqing Xie																																		Eyal Stessel																																		David Coates","Con																												Con																												Con","3-0																															CON"
Ransom Everglades GM,Trinity CN,"Sabarni Chatterjee																																		Sarah Culpepper																																		Ayanava Ganguly","Pro																												Pro																												Pro","3-0																															PRO"
VDA - Vancouver HL,Newton South RA,"Yoga Raghavaraju																																		Nilesh Chander																																		Atul Kapoor","Pro																												Pro																												Pro","3-0																															PRO"
Princeton MB,Newton South YG,"Lucy Fang																																		Sefa Mawuli																																		Ray Lappin","Pro																												Pro																												Pro","3-0																															PRO"
Potomac SW,Newton South SB,"Preema Pinto																																		Kate McKinney																																		Vincenzo Guido","Con																												Pro																												Con","2-1																															CON"
Jasper KL,Newton South MK,"Yong Jong Shawn Yen																																		Liz Dela Cruz																																		Navin Durbhakula","Con																												Pro																												Con","2-1																															CON"
Palm Beach Independent AL,VDA - Vancouver WZ,"Daniel Park																																		Ao Ma																																		Sanjib mohanty","Con																												Pro																												Con","2-1																															CON"
Johns Creek BB,Winston Churchill LL,"David Jones																																		Xiaojin Liu																																		Nigel Taylor-Ward","Pro																												Con																												Pro","2-1																															PRO"
BASIS Chandler CV,Centennial AC,"Preema Pinto																																		Kate McKinney																																		Vincenzo Guido","Pro																												Pro																												Con","2-1																															PRO"
Interlake HZ,Regis BG,"Blake Meyer																																		Jeremy Reynolds																																		M. Reza MALIHI","Con																												Pro																												Con","2-1																															CON"
Scarsdale LY,Sidwell Independent CZ,"Julia Bittencourt																																		Hardik Shah																																		Cathy Cabrera","Con																												Pro																												Con","2-1																															CON"
Princeton LB,Poly Prep Country Day TM,"Mei Liu																																		Mike Girouard																																		Jing Jing Xiao","Pro																												Pro																												Pro","3-0																															PRO"
Princeton GZ,Durham SW,"Rose Oh																																		Faith Cheung																																		Thomas Barone","Con																												Con																												Con","3-0																															CON"
Puyallup HM,Newton South LL,"Daniel Park																																		Ao Ma																																		Sanjib mohanty","Con																												Con																												Pro","2-1																															CON"
Poly Prep Country Day LS,Princeton HC,"Blake Meyer																																		Jeremy Reynolds																																		M. Reza MALIHI","Pro																												Pro																												Con","2-1																															PRO"
Scarsdale DK,Regis FJ,"Sabarni Chatterjee																																		Sarah Culpepper																																		Ayanava Ganguly","Pro																												Con																												Pro","2-1																															PRO"
