Pro,Con,Judges,Votes,Result
Scarsdale DK,Plano West MZ,"Isabella Lu																																		Kitiny Phumchun																																		Ray Lappin","Pro																												Con																												Con","2-1																															CON"
Poly Prep Country Day LS,Plano West LZ,"Jiashen Fang																																		Cristian Ghiuvea																																		Manav Dhaliwal","Pro																												Pro																												Con","2-1																															PRO"
Newton South DD,Newton South LL,,Newton South LL advances,Newton South LL advances
Richard Montgomery GS,Durham SW,"GG Jones																																		Chery Gada																																		Xin Hu","Pro																												Pro																												Pro","3-0																															PRO"
Princeton LB,VDA - Vancouver MS,"Lauryn Lee																																		Julia Bittencourt																																		Frederick Peters","Con																												Pro																												Pro","2-1																															PRO"
Sidwell Independent CZ,Bronx Science AE,"Faith Cheung																																		Nina Dolden																																		Jackie Massey","Pro																												Con																												Pro","2-1																															PRO"
Lambert RZ,Regis BG,"Michael Stewart																																		Mary Chen																																		Prem Ganesan","Pro																												Pro																												Con","2-1																															PRO"
Chanhassen VS,BASIS Chandler CV,"Rajat Ravi																																		Cliff Michel																																		Andrew Aoyama","Pro																												Con																												Pro","2-1																															PRO"
Interlake GJ,Johns Creek BB,"Vincenzo Guido																																		Thomas Barone																																		Frank Jiao","Pro																												Pro																												Pro","3-0																															PRO"
VDA - Vancouver WZ,Richard Montgomery SX,"Dennis O'Donnell																																		Matej Cerman																																		Savanah Sanburg","Con																												Con																												Pro","2-1																															CON"
Newton South MK,Livingston ZS,"Benjamin Hagwood																																		Michael Burkhart																																		Pranav Kasibhatla","Pro																												Pro																												Pro","3-0																															PRO"
Walt Whitman HY,Newton South SB,"tianhong zhou																																		Ritu Gautam																																		Darby Ginsberg","Pro																												Pro																												Pro","3-0																															PRO"
Princeton MB,Bronx Science KW,"Kiran Singh																																		Yiqiu Lin																																		Suma Sivan","Pro																												Pro																												Pro","3-0																															PRO"
VDA - Vancouver HL,George Washington RW,"Terry Choi																																		Jessica Kwon																																		Sophia Fend","Con																												Con																												Con","3-0																															CON"
Regis GM,Ransom Everglades GM,"Lucy Fang																																		Sefa Mawuli																																		Ben Carson","Pro																												Pro																												Con","2-1																															PRO"
National Cathedral School (NCS) AB,Ransom Everglades GR,"Marco Paz-Solano																																		George Mussalli																																		Doug Schreiber","Con																												Con																												Con","3-0																															CON"
