Pro,Con,Judges,Votes,Result
Regis FJ,Princeton CL,"Erica Brown																																		Mike Siller																																		Malla Boda","Pro																												Con																												Pro","2-1																															PRO"
Walt Whitman DP,Riverdale Country GM,"Malcolm Davis																																		Ninad Tambe																																		Grace Protasiewicz","Con																												Con																												Pro","2-1																															CON"
Poly Prep Country Day TS,Wadsworth City PK,"Zach Perry																																		Megan Spellacy																																		Chris Sheppard","Con																												Pro																												Con","2-1																															CON"
Cary CB,Richard Montgomery GS,"Joseph Garza																																		Samara Himmelfarb																																		Shruti Punnachalil","Con																												Con																												Con","3-0																															CON"
Thomas S. Wootton DS,Princeton BS,"Daniel Padwa																																		Dhanalaxmi Thejaswi																																		Amit Mehta","Con																												Con																												Con","3-0																															CON"
Lambert MB,Bronx Science KW,"Peter Paik																																		Hetal Joshi																																		Teresa Chien","Pro																												Pro																												Pro","3-0																															PRO"
Flintridge Prep YC,Interlake KS,"Deepak Khanna																																		Daisy Zhao																																		Mark Raj","Con																												Con																												Pro","2-1																															CON"
Walt Whitman LS,Walt Whitman BW,,Walt Whitman LS advances,Walt Whitman LS advances
