Pro,Con,Judges,Votes,Result
Regis FJ,Richard Montgomery GS,"Sandeep Sinha																																		Sienna Horvath																																		Sophie Poritzky","Con																												Pro																												Con","2-1																															CON"
Riverdale Country GM,Princeton BS,"Vikas Sood																																		Kevin Xu																																		Allie Vale","Con																												Con																												Con","3-0																															CON"
